Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Svedala,"188,843","191,768","189,531","190,702","191,848","197,874","205,322","214,048","221,738","227,030","233,214","237,012","239,236","244,485","248,105","251,559","256,056","258,607","266,616","267,416","267,777","275,493","280,249","285,736","294,908","300,083","305,548"
Skurup,"162,898","166,393","164,764","164,114","166,155","171,005","175,885","185,475","193,607","200,431","201,996","206,786","209,743","215,674","218,519","222,157","226,280","226,735","231,776","232,187","233,235","239,527","243,890","250,349","257,589","263,975","267,377"
Sjobo,"154,959","156,549","154,565","156,592","157,463","160,542","166,297","175,346","181,890","186,211","190,051","194,620","198,242","202,514","206,430","210,197","214,101","217,457","223,929","224,990","222,275","227,761","234,951","239,125","248,875","253,916","256,738"
Horby,"153,399","157,380","154,962","156,573","157,268","161,158","165,508","174,105","181,570","186,322","190,600","194,670","198,331","203,744","207,221","210,457","213,598","214,632","220,519","221,209","221,137","227,630","233,374","238,759","247,422","253,219","255,222"
Hoor,"165,308","169,999","167,412","168,240","170,028","175,479","178,993","186,335","192,214","197,877","201,399","206,676","210,640","215,717","219,209","224,485","228,863","230,942","238,771","238,992","239,392","244,753","251,009","256,874","265,085","272,507","276,783"
Tomelilla,"145,176","148,645","148,737","149,116","151,628","155,012","160,276","168,906","176,289","181,848","185,117","191,768","195,726","200,610","202,554","205,525","207,616","207,459","213,135","212,825","211,882","217,488","224,466","226,384","235,719","242,432","245,383"
Bromolla,"174,524","178,873","176,021","175,600","178,286","183,033","190,476","197,289","206,180","210,732","213,199","217,424","219,903","224,388","228,360","230,267","230,451","232,397","233,622","230,595","228,630","233,248","237,134","241,060","249,042","257,838","261,123"
Osby,"164,883","168,751","166,618","167,574","168,158","171,822","175,991","184,885","192,585","197,445","199,594","205,451","207,385","211,426","213,068","217,935","221,958","222,093","225,793","223,641","220,326","225,562","227,762","230,732","239,645","245,294","249,760"
Perstorp,"173,956","176,932","173,373","174,825","179,067","183,739","185,556","193,096","201,943","207,622","205,012","205,207","206,204","207,950","210,662","212,395","209,051","208,909","210,436","203,678","201,086","205,282","210,472","212,939","214,831","222,601","227,239"
Klippan,"163,182","166,116","162,909","163,075","164,823","169,692","173,677","180,760","188,296","192,999","196,375","198,398","200,418","203,953","207,463","210,654","212,946","212,614","216,640","214,790","213,238","218,325","222,632","224,957","230,846","238,033","240,662"
Astorp,"174,949","177,764","173,373","172,746","174,937","178,473","183,449","190,905","196,467","200,432","203,606","208,547","211,776","216,827","218,541","221,316","223,493","222,732","223,392","221,934","220,014","225,276","231,246","232,564","242,247","248,435","250,605"
Bastad,"158,503","158,906","156,154","158,890","163,093","168,315","174,978","181,720","187,368","193,102","196,551","203,389","208,124","212,288","215,377","218,033","225,091","227,760","233,623","231,868","231,551","235,688","242,358","245,121","254,023","261,041","265,309"
Malmo,"169,845","172,079","167,545","165,310","165,366","168,140","170,571","177,850","183,045","185,313","187,101","190,471","192,843","195,149","197,663","200,307","199,565","198,646","199,976","196,488","196,659","202,391","209,464","212,790","222,262","231,099","235,545"
Lund,"177,643","177,486","171,783","170,832","171,300","175,474","179,872","188,904","197,609","203,704","207,576","210,321","212,183","216,730","219,097","225,793","230,032","231,318","233,278","229,642","228,703","234,494","240,433","241,075","251,247","258,591","261,037"
Landskrona,"170,129","174,436","170,988","168,988","169,831","174,129","179,136","186,403","190,759","194,431","195,408","198,551","201,280","203,807","206,901","209,197","212,042","212,515","215,625","212,607","210,569","215,988","221,475","224,027","231,190","239,136","243,000"
Helsingborg,"174,524","177,486","174,035","174,256","175,228","179,654","182,885","190,546","197,609","202,115","205,856","211,182","215,087","219,722","223,900","227,073","231,540","231,843","236,201","232,914","231,852","236,702","243,998","245,762","253,493","262,278","266,119"
Hoganas,"172,255","176,100","174,962","175,859","178,157","183,331","189,100","197,372","206,260","211,796","215,263","220,204","223,247","228,225","232,337","236,046","240,955","243,580","250,542","248,259","247,144","252,830","260,524","265,919","273,258","279,733","283,498"
Eslov,"170,696","173,465","172,181","172,392","173,644","177,939","181,921","190,586","196,800","201,466","205,024","210,755","213,729","217,970","220,648","224,924","227,395","231,840","236,231","234,225","234,152","239,916","247,639","252,137","261,006","266,763","269,476"
Ystad,"167,577","171,247","168,340","170,761","171,319","175,948","179,564","186,671","195,053","200,141","204,163","208,101","213,018","218,163","221,924","225,470","228,690","230,196","236,278","235,808","235,306","240,526","246,621","251,802","261,636","267,070","269,840"
Trelleborg,"172,539","175,129","171,253","171,819","173,481","178,110","182,291","190,549","198,233","202,696","205,813","209,429","212,777","216,558","219,678","223,381","226,920","228,562","233,281","232,792","230,790","235,149","241,432","245,681","253,169","261,226","265,003"
Kristianstad,"172,113","174,852","172,843","173,045","174,360","179,232","183,638","190,537","197,983","203,101","205,465","210,152","214,497","219,484","222,175","225,988","227,961","229,360","232,886","230,896","229,982","232,954","238,629","241,796","250,158","258,331","262,872"
Simrishamn,"156,235","159,599","157,611","159,121","160,120","162,859","168,644","177,004","184,229","188,521","191,066","195,427","198,877","202,981","207,046","207,963","210,041","210,401","216,188","213,673","211,515","216,355","221,772","225,034","231,376","237,091","241,281"
Angelholm,"170,129","173,188","170,326","171,906","173,028","178,860","182,870","190,517","197,379","203,512","208,475","214,095","217,694","221,478","225,588","229,716","234,382","236,998","244,036","242,850","242,213","248,355","254,928","260,135","267,556","276,270","279,839"
Hosleholm,"164,174","166,116","163,836","164,382","166,189","170,718","174,503","181,871","188,995","193,095","195,987","200,464","205,113","209,547","214,240","217,173","218,454","219,387","223,639","219,655","219,076","221,535","228,213","230,638","239,365","247,166","250,131"
HALLANDS LAN,"171,121","173,881","171,518","172,323","174,046","180,119","184,344","191,969","200,260","206,385","210,154","215,392","219,583","225,821","230,920","235,370","240,138","243,132","249,254","248,496","249,543","256,025","262,194","267,149","275,825","283,421","287,526"
Hylte,"162,898","166,671","164,234","164,547","167,525","175,058","178,469","186,777","194,428","200,264","203,409","208,473","211,459","218,561","222,055","224,609","227,283","229,773","232,779","233,360","230,196","239,665","241,390","244,711","247,822","252,761","256,314"
Halmstad,"171,546","174,020","171,121","171,569","172,877","178,045","181,583","188,401","195,363","200,779","204,192","209,447","213,503","219,024","224,499","228,407","233,397","235,944","240,750","239,656","239,806","246,042","251,581","254,337","261,983","271,184","275,411"
Laholm,"152,690","154,607","154,300","156,080","157,752","163,137","166,695","174,915","182,120","187,813","191,500","197,290","202,292","207,318","210,776","215,674","219,716","222,018","226,352","226,096","227,359","232,914","239,390","242,125","250,541","256,417","260,036"
Falkenberg,"162,473","165,839","163,042","163,682","164,861","170,020","173,822","181,540","188,500","193,110","196,292","202,721","207,468","213,055","217,579","220,984","226,384","229,685","236,052","234,729","236,363","242,015","248,884","252,328","259,674","264,290","267,912"
Varberg,"166,159","169,305","167,280","167,957","168,186","174,407","178,978","187,054","194,754","199,780","203,565","209,161","213,454","220,193","225,420","230,204","234,700","239,057","245,524","245,623","247,157","253,769","259,996","267,215","277,775","285,184","288,955"
Kungsbacka,"192,529","194,403","190,458","192,075","194,093","202,586","208,941","218,394","227,655","235,884","240,544","246,825","250,000","257,625","262,524","268,557","273,541","276,179","282,975","282,712","283,386","291,374","298,349","306,267","315,970","325,078","330,455"
VASTRA GOTALANDS LAN,"180,194","182,339","178,141","177,425","178,991","183,988","186,866","195,808","204,236","210,005","214,005","218,815","222,301","227,115","231,346","235,024","239,411","241,573","245,268","242,572","243,291","249,326","255,104","259,999","269,723","278,675","284,164"
Harryda,"197,491","200,504","197,875","198,849","202,186","210,408","215,575","223,979","234,153","241,432","246,001","249,744","254,114","260,009","264,275","269,555","275,958","278,508","285,173","286,947","289,346","297,376","305,469","312,363","323,658","331,804","338,721"
Partille,"196,924","199,118","196,948","197,480","199,702","206,871","211,368","220,858","228,485","234,494","239,412","243,987","247,243","253,730","258,247","262,091","267,868","270,435","275,022","274,480","276,764","284,646","292,305","297,996","309,956","317,390","323,939"
Ockero,"175,232","177,625","174,962","178,878","182,871","189,903","195,789","206,516","215,670","221,322","224,066","231,572","236,222","241,698","246,734","253,543","258,038","261,174","267,374","264,290","263,250","273,291","278,105","285,729","294,923","304,496","310,848"
Stenungsund,"188,843","191,630","187,544","188,307","190,687","198,630","203,826","212,563","220,889","229,152","233,457","237,871","240,386","246,401","250,388","255,693","260,668","263,892","269,934","268,622","271,141","276,390","286,199","293,330","304,679","312,589","315,680"
Tjorn,"176,083","178,318","174,167","176,165","179,791","187,702","193,690","200,973","210,012","215,526","221,385","227,268","230,115","235,560","240,439","243,786","249,622","251,402","258,488","258,626","257,953","263,228","271,758","278,017","288,349","296,321","302,495"
Orust,"166,159","169,028","166,220","168,198","170,689","175,823","181,977","189,938","198,431","203,892","207,336","213,362","216,887","223,085","227,997","231,086","235,516","236,576","240,690","239,293","239,754","245,110","250,077","252,526","260,592","269,013","272,703"
Soteno,"161,906","166,255","164,764","167,299","169,267","176,049","180,496","188,468","195,652","198,744","202,413","209,603","213,027","217,971","223,283","227,608","231,247","233,984","241,437","240,287","241,134","242,552","250,927","257,061","265,260","274,543","276,957"
Munkedal,"159,779","164,314","163,307","162,312","163,191","167,579","171,143","181,160","188,767","193,425","193,623","199,069","205,040","210,256","212,429","215,794","217,083","217,569","220,290","219,209","219,101","225,472","228,443","231,988","241,246","248,278","252,884"
Tanum,"146,311","149,754","149,797","152,291","155,092","158,800","163,911","173,204","181,394","188,017","190,351","196,917","201,639","206,404","211,380","215,907","218,507","220,031","221,262","219,491","219,134","226,614","233,034","236,785","245,033","253,714","254,580"
Dals-Ed,"149,855","155,578","155,492","157,628","162,610","166,040","170,116","179,549","187,271","191,154","189,622","196,355","203,690","205,629","208,805","205,874","208,807","207,697","208,149","203,960","198,707","202,551","207,924","211,878","215,969","225,062","230,858"
Fargelanda,"160,913","165,284","164,234","166,673","169,449","175,901","180,537","191,511","200,093","203,867","202,094","206,967","211,404","213,506","216,064","217,451","217,005","217,316","221,711","218,470","217,182","220,538","226,473","227,729","236,513","241,091","249,734"
Ale,"189,268","192,600","188,869","188,677","190,853","197,713","202,981","211,089","218,494","224,356","227,475","233,784","238,076","242,828","247,751","249,992","255,311","256,851","263,121","262,447","263,079","268,450","276,139","281,209","293,002","301,025","306,404"
Lerum,"196,782","198,286","195,359","196,312","199,080","206,334","213,260","221,127","230,556","236,949","242,103","247,315","250,462","255,304","260,944","266,647","270,523","275,200","281,098","283,349","285,050","290,847","299,542","305,438","315,453","324,006","328,383"
Vargarda,"159,354","164,730","163,439","165,890","168,892","173,366","180,465","189,792","200,321","208,520","215,018","218,838","223,943","229,065","231,519","234,748","236,805","238,957","243,540","242,078","242,809","247,217","251,558","257,589","266,184","272,867","278,274"
Bollebygd,0,0,0,"185,132","189,305","194,855","201,488","210,377","219,156","224,877","229,788","234,830","238,537","245,352","248,002","253,837","257,156","259,317","263,772","261,880","264,971","268,405","275,490","282,085","291,662","299,289","304,845"
Grotorp,"160,488","164,175","163,174","164,616","166,717","173,221","178,937","185,849","195,308","202,641","207,061","209,168","213,698","216,967","220,808","222,034","225,549","225,900","229,946","228,611","229,682","235,013","238,005","245,165","255,112","264,829","267,140"
Essunga,"153,116","155,578","155,492","157,427","158,428","162,640","169,703","179,222","187,068","194,804","197,209","201,473","206,221","211,145","214,288","218,393","224,118","225,414","228,271","227,058","226,225","228,280","235,735","237,697","246,605","253,851","254,451"
Karlsborg,"166,584","170,692","169,532","169,637","169,813","174,918","179,409","186,645","191,570","197,158","200,280","206,333","211,242","216,527","220,244","225,518","228,735","228,394","235,629","231,608","231,980","240,470","244,688","246,846","250,535","255,033","260,764"
Gullspang,"156,518","160,847","159,068","159,511","162,370","167,885","171,076","177,936","185,838","189,159","190,600","197,432","201,304","204,368","207,602","210,435","212,301","210,928","214,021","208,040","206,302","211,556","217,299","215,734","221,323","226,019","229,809"
Tranemo,"168,711","172,079","168,340","170,261","172,483","180,400","186,134","196,607","203,868","208,415","212,070","216,843","218,224","226,414","229,791","236,557","240,783","242,565","245,307","243,567","243,783","249,173","252,712","259,053","266,428","272,995","276,918"
Bengtsfors,"166,442","170,553","170,061","172,236","177,064","181,129","185,180","191,645","197,568","196,030","195,630","200,890","203,674","207,091","208,604","207,246","207,072","203,424","206,623","202,450","202,526","206,558","214,607","214,703","221,002","225,024","230,220"
Mellerud,"151,698","157,103","155,757","156,277","158,663","165,705","168,464","176,486","182,769","186,322","187,000","191,515","196,678","198,388","203,951","204,065","203,963","204,080","207,539","199,277","196,456","203,601","209,329","210,162","217,092","223,515","227,490"
Lilla Edet,"176,650","181,369","178,670","177,687","178,412","182,451","187,586","196,364","206,300","212,601","214,192","219,299","221,605","224,968","230,073","231,802","236,658","236,908","240,479","240,063","240,211","244,701","249,290","253,001","261,023","270,131","276,733"
Mark,"162,615","165,561","163,969","165,701","167,870","173,416","178,436","186,844","195,194","201,004","204,733","208,264","212,588","216,552","220,537","224,876","229,288","231,149","236,488","235,332","235,710","240,611","249,047","252,842","261,332","268,282","273,063"
Svenljunga,"157,936","161,124","158,141","160,699","162,797","168,028","173,011","183,499","190,495","194,225","199,346","202,873","206,690","211,499","216,203","221,102","222,686","223,836","226,154","226,583","227,963","233,801","239,426","242,451","246,803","254,559","257,035"
Herrljunga,"160,063","163,620","161,320","162,312","164,336","170,765","176,149","185,891","194,689","199,048","201,676","205,980","210,567","214,578","219,793","224,865","227,684","228,953","231,533","230,980","231,103","233,354","240,291","244,688","255,358","262,613","266,407"
Vara,"154,392","155,717","154,565","156,413","158,190","163,112","168,753","177,718","184,625","189,322","193,402","199,356","205,209","208,998","213,417","216,297","221,590","224,670","227,044","225,713","227,912","232,897","236,363","239,847","247,685","256,165","259,933"
Gotene,"169,845","172,633","170,061","172,065","173,823","180,599","187,008","194,437","205,209","209,346","212,991","219,125","223,103","227,129","231,282","235,384","241,221","243,182","247,687","244,872","243,856","248,338","252,863","255,782","263,797","273,605","277,923"
Tibro,"166,301","168,751","166,088","166,948","169,079","176,229","180,752","189,888","199,300","205,040","206,745","210,210","213,266","216,769","220,761","221,324","226,252","227,584","231,174","226,760","228,042","229,008","234,502","232,641","241,306","250,925","256,335"
Toreboda,"152,974","155,994","153,638","153,772","155,220","159,132","165,032","174,620","182,290","186,242","188,492","193,580","198,464","202,639","202,752","206,268","209,444","211,657","213,742","210,142","211,032","215,004","221,801","223,014","228,540","234,163","238,576"
Goteborg,"179,627","181,092","175,889","174,165","175,365","179,653","182,392","190,965","199,525","206,096","211,000","215,702","219,256","223,945","227,480","231,482","236,299","238,913","240,664","236,506","237,584","245,538","252,080","257,059","268,806","279,269","285,244"
Molndal,"193,663","195,651","192,710","193,282","194,730","203,216","208,366","217,232","226,420","232,657","238,159","243,456","246,229","250,969","256,446","261,554","268,096","271,318","277,850","276,507","277,787","284,999","292,748","300,336","311,399","319,766","324,411"
Kungalv,"187,992","191,075","187,677","189,580","192,399","199,675","205,626","214,528","224,617","229,689","234,523","239,291","242,413","247,546","251,945","255,956","261,059","264,159","270,528","270,849","271,258","277,489","284,048","290,880","300,652","310,992","316,511"
Lysekil,"169,561","173,465","170,988","171,119","171,467","176,798","179,717","190,882","198,111","203,409","206,261","210,492","213,921","218,888","223,169","225,730","228,495","229,725","235,073","232,413","231,711","237,321","243,272","247,275","253,251","261,265","265,252"
Uddevalla,"176,083","179,428","176,021","175,324","175,866","180,203","183,971","193,822","200,774","205,550","208,548","213,701","217,937","221,349","226,188","230,526","233,990","236,037","240,387","237,841","235,940","240,769","245,272","250,481","259,778","269,384","275,604"
Stromstad,"156,802","161,818","161,055","161,325","161,309","166,662","170,442","177,173","185,441","191,676","193,839","200,944","207,457","210,848","216,096","217,623","219,948","218,750","227,621","220,917","218,239","224,225","229,509","228,708","236,724","243,196","247,971"
Vanersborg,"181,754","185,667","183,041","181,848","183,081","188,578","194,035","202,780","210,472","216,040","219,110","224,823","225,888","229,584","234,334","237,768","240,142","241,091","243,756","240,603","238,611","243,534","246,441","249,368","256,673","263,902","270,320"
Trollhattan,"185,582","188,857","186,220","182,721","183,093","187,544","193,747","204,705","212,583","216,566","220,619","226,896","228,764","231,500","235,557","238,924","240,235","239,904","241,957","236,606","235,012","238,781","237,890","242,317","253,297","263,993","270,082"
Alingso,"171,972","175,822","172,843","174,643","176,233","182,240","187,295","197,191","205,410","211,794","216,900","222,001","226,642","231,370","235,378","238,688","241,793","243,462","247,769","245,606","246,546","253,364","260,368","266,338","273,958","281,434","286,618"
Boro,"175,232","177,902","175,359","175,210","176,981","182,628","187,177","195,819","203,307","208,300","212,354","215,764","218,245","223,607","228,784","231,683","235,725","237,928","241,458","240,088","242,129","246,563","251,498","256,185","264,564","271,963","276,674"
Ulricehamn,"162,331","165,839","163,704","167,114","169,435","175,206","180,573","189,160","196,216","202,082","206,049","212,342","215,961","222,334","225,907","229,378","234,248","236,814","241,947","239,763","241,510","245,771","252,978","258,070","265,794","274,540","276,936"
Amal,"165,025","169,167","166,088","167,539","170,933","176,686","181,428","188,324","194,176","196,268","199,942","205,607","208,780","212,518","217,088","216,102","216,320","216,508","219,422","214,180","211,624","215,280","220,901","222,039","226,345","229,276","236,217"
Mariestad,"172,822","175,268","172,975","172,589","175,268","180,740","184,984","193,937","200,548","206,558","208,695","212,719","217,095","221,951","226,389","228,573","233,067","232,241","236,108","233,447","232,515","234,737","241,596","244,313","251,968","261,239","268,398"
Lidkoping,"168,711","171,385","170,326","171,738","174,621","179,761","184,943","192,486","200,960","206,023","210,661","216,392","221,084","226,146","231,756","236,172","240,063","243,417","247,686","245,796","245,512","251,330","256,176","259,845","269,324","278,255","283,741"
Skara,"171,830","175,268","172,843","174,581","175,842","182,821","187,537","196,503","205,319","210,867","213,995","218,900","223,462","227,308","230,795","233,226","235,731","237,930","243,151","241,057","238,347","241,146","241,003","247,401","256,487","263,639","272,733"
Skovde,"180,903","183,587","180,657","180,719","182,062","188,176","191,794","200,410","209,907","215,155","217,945","220,211","222,915","228,262","233,666","237,556","242,707","247,552","248,892","246,621","250,657","257,041","262,016","268,177","277,182","283,960","288,976"
Hjo,"163,323","165,700","165,028","165,072","165,669","172,915","176,462","185,438","192,093","198,580","200,946","205,407","211,951","216,056","220,099","224,524","229,651","232,690","234,845","230,145","230,703","234,230","242,446","245,325","251,538","261,100","266,036"
Tidaholm,"168,285","171,940","170,856","170,166","171,588","175,893","179,926","189,198","197,047","202,046","203,179","207,577","212,794","217,044","220,147","223,517","228,473","229,128","233,209","226,897","230,057","233,683","240,384","242,966","251,477","258,782","264,373"
Falkoping,"161,622","164,730","163,307","163,795","166,046","171,998","176,320","185,593","192,459","199,669","201,992","205,933","208,794","213,977","219,455","222,734","227,453","230,863","233,866","230,199","230,576","236,186","241,484","244,323","250,485","258,136","263,626"
VARMLANDS LAN,"170,837","174,713","172,710","173,223","175,286","180,428","183,908","191,085","197,698","201,557","204,004","207,813","212,000","216,814","220,615","223,704","225,469","226,552","230,843","227,767","227,090","232,154","236,939","239,828","247,449","254,212","259,125"
Kil,"174,949","177,902","176,154","179,049","181,001","188,189","191,447","194,905","202,192","206,821","209,984","212,942","218,307","223,211","227,202","229,697","231,176","234,389","237,151","235,352","236,320","242,892","246,930","250,496","258,397","267,102","270,182"
Eda,"154,959","159,183","157,744","158,943","162,759","166,949","171,198","179,504","184,520","186,322","187,684","193,023","194,671","197,351","199,012","200,574","200,605","200,670","202,484","190,715","191,143","196,706","201,303","202,285","209,774","215,449","219,205"
Torsby,"158,220","163,898","161,320","162,149","163,959","166,994","173,389","180,177","186,531","188,765","188,859","191,920","196,372","201,105","203,601","205,951","206,909","206,903","212,457","211,835","209,620","215,942","221,590","223,296","228,999","232,519","240,640"
Storfors,"169,561","171,801","170,724","170,279","175,841","182,467","183,842","192,212","199,991","201,020","205,988","208,469","210,621","214,169","216,218","219,978","221,767","222,610","229,001","222,066","221,334","228,248","228,987","230,617","238,673","245,034","248,631"
Hammaro,"194,797","196,899","196,153","197,143","199,237","209,535","213,461","220,373","227,470","234,509","238,511","240,921","246,185","252,803","257,782","261,706","263,873","268,396","276,092","278,999","277,682","283,766","290,947","299,846","307,824","316,704","323,314"
Munkfors,"164,032","169,721","166,883","168,643","171,285","177,412","181,298","188,167","194,644","197,121","196,746","201,882","204,872","210,239","210,282","210,197","210,963","208,614","211,041","205,900","205,108","209,812","213,088","213,673","223,765","227,520","231,252"
Forshaga,"176,934","179,428","177,876","178,335","180,125","185,405","188,832","195,773","203,652","207,081","210,163","211,133","215,920","219,992","224,517","227,921","228,885","229,315","236,857","232,395","230,561","235,602","240,183","242,658","254,987","263,108","267,454"
Grums,"172,680","175,961","173,902","175,083","176,700","183,379","185,502","192,461","199,984","203,011","205,180","208,909","212,677","218,621","221,361","223,378","225,659","225,573","230,980","225,704","223,448","226,243","231,090","232,765","239,430","246,319","252,110"
Arjang,"152,549","155,162","154,830","156,497","159,405","163,943","169,098","175,458","180,239","183,983","183,483","185,246","189,763","194,017","199,249","201,620","200,556","197,911","200,398","191,424","190,565","200,487","202,300","204,118","209,772","215,924","218,429"
Sunne,"158,361","164,591","164,101","164,065","166,447","171,171","174,843","181,324","187,388","192,391","195,610","198,076","203,378","207,599","210,806","214,348","215,513","215,318","219,600","220,316","219,469","224,932","230,943","230,104","236,732","246,073","252,448"
Karlstad,"182,463","184,558","181,584","181,973","182,131","187,242","190,522","198,035","205,322","209,810","212,413","216,351","221,654","226,313","231,056","234,867","237,536","239,353","244,501","241,573","241,591","246,688","252,548","256,130","265,650","273,023","277,155"
Kristinehamn,"172,255","176,377","173,505","172,485","174,531","180,608","184,893","191,870","198,942","202,785","206,102","209,504","212,104","215,638","218,959","222,929","223,460","223,039","227,189","224,417","220,649","224,881","229,346","229,539","236,631","241,048","247,107"
Filipstad,"165,308","168,612","167,412","169,287","171,412","175,044","177,597","184,840","190,887","194,335","196,761","201,468","204,004","206,403","209,972","212,687","212,879","213,738","217,544","212,624","211,115","213,271","217,504","217,772","220,821","223,695","230,569"
Hagfors,"170,129","175,822","172,710","173,947","175,579","180,643","182,865","189,894","195,953","199,244","199,853","204,321","207,774","212,588","214,448","214,632","215,035","216,075","218,719","217,543","215,038","219,322","225,033","230,113","235,895","243,216","248,100"
Arvika,"159,921","165,839","164,499","166,626","168,745","173,049","177,773","185,404","190,630","194,422","197,004","200,673","205,461","210,818","214,991","219,708","221,955","225,705","227,172","223,189","223,049","227,206","231,273","236,278","242,753","248,596","252,273"
Saffle,"159,495","164,730","164,101","164,474","167,626","172,861","175,835","182,999","190,292","194,032","195,827","202,478","204,850","209,920","212,517","214,175","215,376","214,124","220,191","214,239","212,000","216,560","220,530","218,303","224,160","230,789","234,864"
OREBRO LAN,"175,941","179,705","176,551","176,472","178,177","182,946","187,002","195,418","203,156","208,247","210,761","215,483","217,736","222,382","226,033","229,435","233,503","235,621","239,406","235,954","236,160","241,950","247,050","250,471","257,431","264,064","268,212"
Lekeberg,0,0,0,"164,743","168,095","173,532","178,630","187,615","196,921","203,383","208,990","214,880","217,016","219,128","223,734","227,939","235,373","236,754","241,725","241,484","241,384","246,841","253,596","259,214","269,678","276,646","283,575"
Laxa,"174,665","180,953","176,419","177,991","179,966","185,413","191,850","198,326","205,750","208,505","210,336","211,946","212,917","216,963","219,413","220,658","225,855","227,635","230,283","229,585","232,124","233,796","236,772","228,595","238,943","244,308","249,423"
Hallsberg,"174,240","177,209","174,167","174,602","179,138","184,731","189,661","198,861","206,524","211,503","211,378","215,707","216,908","221,845","225,335","228,135","231,563","232,561","236,019","230,905","232,277","237,768","242,939","249,739","254,149","259,138","263,692"
Degerfors,"175,232","179,844","176,021","176,216","177,999","183,615","186,871","194,063","202,312","206,341","210,711","215,018","218,415","220,172","223,716","226,001","229,746","229,968","234,754","229,100","225,328","230,787","233,789","235,255","241,817","247,582","250,235"
Hallefors,"172,539","175,406","171,253","170,628","172,243","174,765","177,873","186,302","193,043","195,879","197,844","200,953","206,572","212,417","213,778","217,233","217,339","219,348","219,869","217,345","212,623","215,840","222,374","222,001","225,384","233,823","235,912"
Ljusnarsberg,"163,040","168,612","165,823","166,745","167,090","169,841","174,317","182,392","187,284","189,619","191,809","196,275","200,978","203,030","204,724","206,433","205,424","203,290","210,488","205,246","204,574","206,850","209,795","210,095","213,994","219,682","220,368"
Orebro,"176,367","179,705","176,154","176,790","177,353","181,494","184,410","192,968","200,235","206,081","209,715","214,876","216,941","222,037","225,978","230,083","234,467","237,537","242,117","239,223","240,058","246,198","252,318","256,341","264,381","271,469","274,543"
Kumla,"176,225","181,369","179,862","182,410","186,048","193,441","203,033","212,234","220,326","225,987","226,342","230,435","229,452","231,755","234,603","238,608","243,329","246,027","250,492","246,964","247,396","253,035","258,040","264,332","271,904","279,456","283,306"
Askersund,"166,726","172,356","168,604","169,667","172,286","177,997","183,877","192,362","199,767","205,005","205,927","210,921","213,720","219,838","222,184","225,010","227,608","229,193","233,280","232,753","232,974","237,262","244,047","249,152","254,854","258,785","266,147"
Karlskoga,"185,015","187,747","185,028","183,713","185,651","191,390","195,263","203,160","212,397","216,570","218,402","222,256","224,372","229,866","233,483","235,630","238,012","239,551","243,836","237,280","235,163","242,053","246,048","246,895","253,505","258,884","262,663"
Nora,"176,650","179,289","177,743","177,107","177,894","183,171","187,302","193,483","200,974","205,717","207,434","213,470","215,769","220,993","227,228","230,074","234,753","236,111","238,777","235,615","235,679","240,380","245,194","248,536","252,588","256,656","261,691"
Lindesberg,"172,680","177,209","174,300","173,354","175,647","181,364","185,758","194,470","202,006","205,750","208,475","211,930","216,717","220,356","224,466","227,747","233,383","235,237","235,221","231,968","233,243","239,141","241,982","243,678","249,079","256,248","263,017"
VASTMANLANDS LAN,"181,187","184,003","180,260","179,293","181,000","186,051","189,872","197,584","205,669","210,558","214,397","218,770","221,826","226,243","229,480","233,818","237,663","239,813","244,287","240,636","240,156","245,743","250,902","254,983","262,709","269,428","272,980"
Skinnskatteberg,"168,853","172,911","169,796","170,049","175,302","180,739","183,727","192,191","199,057","201,765","205,207","212,262","211,517","213,846","219,194","219,812","222,139","225,464","227,194","223,214","221,571","227,674","233,758","233,579","235,319","244,292","247,167"
Surahammar,"186,007","188,579","185,425","185,075","188,356","193,840","198,329","207,290","214,235","218,809","224,264","228,240","230,646","233,361","236,503","239,187","240,328","243,339","246,945","240,968","238,989","243,349","246,509","248,018","255,402","260,605","264,009"
Kungsor,"175,941","178,457","176,286","178,807","181,263","185,928","190,916","199,588","208,147","213,769","215,869","219,036","222,829","228,016","232,857","237,570","240,015","239,731","242,758","238,592","238,925","242,413","244,492","246,021","252,503","257,933","258,474"
Hallstahammar,"183,597","185,390","180,790","180,125","182,192","187,572","190,983","197,759","206,063","210,795","212,941","217,368","222,285","226,446","227,989","230,512","233,911","235,387","236,943","234,160","232,425","236,211","239,490","244,244","253,144","260,634","264,795"
Norberg,"176,367","179,428","177,876","176,808","180,643","184,330","188,939","197,268","200,386","205,388","206,406","211,705","215,960","217,951","222,756","224,355","228,007","230,877","235,245","232,862","228,192","235,976","241,580","237,746","244,410","256,279","259,222"
Votero,"187,567","190,243","186,220","184,724","185,163","191,184","195,419","202,642","210,803","215,558","219,810","223,937","226,727","231,376","234,446","238,352","242,593","244,886","251,130","248,538","248,223","254,077","260,303","265,503","273,616","280,462","283,201"
Sala,"167,718","170,969","168,604","167,912","169,206","173,791","178,093","185,685","194,234","199,483","203,788","205,385","208,736","212,496","215,574","219,768","224,637","227,345","232,512","231,483","229,897","235,223","241,143","244,343","250,346","257,434","260,185"
Fagersta,"181,045","184,697","180,260","180,667","184,801","190,664","195,065","202,350","210,788","213,870","216,967","222,406","225,080","229,607","232,747","234,729","239,872","243,706","243,142","237,197","236,180","241,404","248,095","247,473","252,418","256,829","265,030"
